AuthorNames-Deduped,AminerCitationCount_02-2019,XPloreCitationCount_02-2019
Scott Nations;Robert J. Moorhead II;Kelly P. Gaither;Steve Aukstakalnis;Rhonda Vickery;Warren Carl Couvillion Jr.;Daniel N. Fox;Peter Flynn;Alan J. Wallcraft;Patrick Hogan;Ole Martin Smedstad,,5
Jarke J. van Wijk;Hans J. W. Spoelder;Willem-Jan Knibbe;Kamran Eftekhari Shahroudi,4,1
William E. Lorensen;Ron Kikinis;Sandy Napel;Arie E. Kaufman;John Flynn,50,3
Hanspeter Pfister;GÃ¼nter Knittel;JÃ¼rgen Hesser;John C. Goble,0,1
Gregory Piatetsky-Shapiro;Graham J. Wills,,0
David Banks;George Francis;Andrew J. Hanson;Loki JÃ¶rgenson,,0
Robert Braham;F. David Fracchia;Andrew S. Glassner;Barbara Mones-Hattal;Russ Rose;Nahum D. Gershon,0,0
Tamara Munzner,412,88
Markus H. Gross;Thomas C. Sprenger;J. Finger,64,14
Ed Huai-hsin Chi;Phillip Barry;John Riedl;Joseph A. Konstan,150,15
Teruhiko Teraoka;Minoru Maruyama,50,3
Mei C. Chuah;Stephen G. Eick,13,2
Margaret-Anne D. Storey;Kenny Wong;F. David Fracchia;Hausi A. MÃ¼ller,138,23
Steven P. Reiss,50,2
Alan Keahey;Edward L. Robertson,,23
Tichomir Tenev;Ramana Rao,50,4
Mark Derthick;Steven F. Roth;John Kolojejchick,50,3
Dominique Brodbeck;Matthew Chalmers;Aran Lunzer;Pamela Cotture,53,16
Egemen Tanin;Richard Beigel;Ben Shneiderman,50,4
Barry G. Becker,,8
