AuthorNames-Deduped,AminerCitationCount_02-2019,XPloreCitationCount_02-2019
Nivan Ferreira;Jorge Poco;Huy T. Vo;Juliana Freire;ClÃ¡udio T. Silva,249,160
Zuchao Wang;Min Lu;Xiaoru Yuan;Junping Zhang;Huub van de Wetering,181,116
Alexander Lex;Nils Gehlenborg;Hendrik Strobelt;Romain Vuillemot;Hanspeter Pfister,141,138
Ramik Sadana;Timothy Major;Alistair D. M. Dove;John T. Stasko,27,21
Brittany Kondo;Christopher Collins,50,16
Manuel Rubio-SÃ¡nchez;Alberto SÃ¡nchez 0001,8,8
Samuel Gratzl;Nils Gehlenborg;Alexander Lex;Hanspeter Pfister;Marc Streit,50,20
Cagatay Turkay;Aidan Slingsby;Helwig Hauser;Jo Wood;Jason Dykes,50,17
Diansheng Guo;Xi Zhu 0002,50,49
Arthur van Goethem;Andreas Reimer;Bettina Speckmann;Jo Wood,0,0
Felipe S. L. G. Duarte;Fabio Sikansi;Francisco M. Fatore;Samuel G. Fadel;Fernando Vieira Paulovich,23,11
Martijn Tennekes;Edwin de Jonge,8,15
Charles Perin;Pierre Dragicevic;Jean-Daniel Fekete,43,29
Donghao Ren;Tobias HÃ¶llerer;Xiaoru Yuan,34,24
Samuel Huron;Yvonne Jansen;Sheelagh Carpendale,38,19
Emanuel Zgraggen;Robert C. Zeleznik;Steven M. Drucker,50,5
Zan Armstrong;Martin Wattenberg,5,3
Michael Correll;Michael Gleicher,50,40
Gregorio Palmas;Myroslav Bachynskyi;Antti Oulasvirta;Hans-Peter Seidel;Tino Weinkauf,14,10
Ali K. Al-Awami;Johanna Beyer;Hendrik Strobelt;Narayanan Kasthuri;Jeff Lichtman;Hanspeter Pfister;Markus Hadwiger,50,13
Justin Talbot;Vidya Setlur;Anushka Anand,24,15
Michael Sedlmair;Christoph Heinzl;Stefan Bruckner;Harald Piringer;Torsten MÃ¶ller,77,55
Jo Wood;Roger Beecham;Jason Dykes,20,10
Gordon L. Kindlmann;Carlos Eduardo Scheidegger,35,23
Sean McKenna;Dominika Mazur;James Agutter;Miriah D. Meyer,31,17
Anshul Vikram Pandey;Anjali Manivannan;Oded Nov;Margaret Satterthwaite;Enrico Bertini,50,21
Rudolf Netzel;Michael Burch;Daniel Weiskopf,18,15
Bahador Saket;Paolo Simonetto;Stephen G. Kobourov;Katy BÃ¶rner,50,15
Fanny Chevalier;Pierre Dragicevic;Steven Franconeri,26,18
Johannes Fuchs 0001;Petra Isenberg;Anastasia Bezerianos;Fabian Fischer 0001;Enrico Bertini,26,17
Rita Borgo;Joel Dearden;Mark W. Jones,11,7
Matthew Brehmer;Stephen Ingram;Jonathan Stray;Tamara Munzner,44,13
Weiwei Cui;Shixia Liu;Zhuofeng Wu 0002;Hao Wei,59,38
Pascal Goffin;Wesley Willett;Jean-Daniel Fekete;Petra Isenberg,23,17
Paul van der Corput;Jarke J. van Wijk,50,2
Stef van den Elzen;Jarke J. van Wijk,50,37
Charles D. Stolper;Minsuk Kahng;Zhiyuan Lin 0001;Florian Foerster;Aakash Goel;John T. Stasko;Duen Horng Chau,13,8
Tom Polk;Jing Yang;Yueqi Hu;Ye Zhao,50,17
Zhicheng Liu;Jeffrey Heer,103,44
Jaemin Jo;Jaeseok Huh;Jonghun Park;Bo Hyoung Kim;Jinwook Seo,7,11
Katherine E. Isaacs;Peer-Timo Bremer;Ilir Jusufi;Todd Gamblin;Abhinav Bhatele;Martin Schulz 0001;Bernd Hamann,50,12
Ã‡agatay Demiralp;Michael S. Bernstein;Jeffrey Heer,42,27
Lane Harrison;Fumeng Yang;Steven Franconeri;Remco Chang,50,34
Connor Gramazio;Karen B. Schloss;David H. Laidlaw,9,5
Jeremy Boy;Ronald A. Rensink;Enrico Bertini;Jean-Daniel Fekete,47,27
Juhee Bae;Benjamin Watson,4,3
Simon Stusak;AurÃ©lien Tabard;Franziska Sauka;Rohit Ashok Khot;Andreas Butz,46,15
Christian Schulte zu Berge;Maximilian Baust;Ankur Kapoor;Nassir Navab,10,4
Peter Rautek;Stefan Bruckner;M. Eduard GrÃ¶ller;Markus Hadwiger,50,7
Steffen Frey;Filip Sadlo;Kwan-Liu Ma;Thomas Ertl,50,13
Hyungsuk Choi;Woohyuk Choi;Tran Minh Quan;David G. C. Hildebrand;Hanspeter Pfister;Won-Ki Jeong,17,12
Ronell Sicat;Jens H. KrÃ¼ger;Torsten MÃ¶ller;Markus Hadwiger,11,9
Dilip Mathew Thomas;Vijay Natarajan,50,13
Marco Ament;Filip Sadlo;Carsten Dachsbacher;Daniel Weiskopf,18,12
Stefan Lindholm;Daniel JÃ¶nsson;Charles D. Hansen;Anders Ynnerman,5,6
Manuela Waldner;Mathieu Le Muzic;Matthias Bernhard;Werner Purgathofer;Ivan Viola,9,8
Daniel Haehn;Seymour Knowles-Barley;Mike Roberts;Johanna Beyer;Narayanan Kasthuri;Jeff Lichtman;Hanspeter Pfister,24,18
David GÃ¼nther;Roberto Ã�lvarez Boto;Juila Contreras-Garcia;Jean-Philip Piquemal;Julien Tierny,25,17
Norbert Lindow;Daniel Baum;Hans-Christian Hege,10,8
Jan Kretschmer;Grzegorz Soza;Christian Tietjen;Michael SÃ¼hling;Bernhard Preim;Marc Stamminger,50,4
Sylvia GlaÃŸer;Kai Lawonn;Thomas Hoffmann;Martin Skalej;Bernhard Preim,11,6
Sujal Bista;Jiachen Zhuo;Rao P. Gullapalli;Amitabh Varshney,50,8
Tao Ju;Minxin Cheng;Xu Wang;Ye Duan,50,2
Tobias GÃ¼nther;Holger Theisel,9,8
Fan Hong;Chufan Lai;Hanqi Guo;Enya Shen;Xiaoru Yuan;Sikun Li,6,6
Hanqi Guo;Jiang Zhang;Richen Liu;Lu Liu;Xiaoru Yuan;Jian Huang 0007;Xiangfei Meng;Jingshan Pan,13,8
Franz Sauer;Hongfeng Yu;Kwan-Liu Ma,13,8
Hui Zhang 0006;Jianguang Weng;Guangchen Ruan,1,2
David GÃ¼nther;Alec Jacobson;Jan Reininghaus;Hans-Peter Seidel;Olga Sorkine-Hornung;Tino Weinkauf,,12
Attila Gyulassy;David GÃ¼nther;Joshua A. Levine;Julien Tierny;Valerio Pascucci,50,9
Gustavo Mello Machado;Filip Sadlo;Thomas MÃ¼ller 0005;Thomas Ertl,,1
Sean M. Arietta;Alexei A. Efros;Ravi Ramamoorthi;Maneesh Agrawala,50,29
Lars Huettenberger;Christian Heine 0002;Christoph Garth,6,6
Ismail Demir;Christian Dick;RÃ¼diger Westermann,31,23
Harish Doraiswamy;Nivan Ferreira;Theodoros Damoulas;Juliana Freire;ClÃ¡udio T. Silva,48,29
David Schroeder;Fedor Korsakov;Carissa Mai-Ping Knipe;Lauren Thorson;Arin M. Ellingson;David J. Nuckley;John V. Carlis;Daniel F. Keefe,7,6
Mahsa Mirzargar;Ross T. Whitaker;Robert Michael Kirby,42,41
Jiaxi Hu;Guangyu Zou;Jing Hua,2,2
Peter Lindstrom,62,56
Silvia Born;Simon H. SÃ¼ndermann;Christoph Russ;Raoul Hopf;Carlos E. Ruiz;Volkmar Falk;Michael Gessat,50,4
Jarke J. van Wijk,50,0
Dominik Sacha;Andreas Stoffel;Florian Stoffel;Bum Chul Kwon;Geoffrey P. Ellis;Daniel A. Keim,53,73
Josua Krause;Adam Perer;Enrico Bertini,50,32
Dang Tuan Nhon;Leland Wilkinson,50,5
Narges Mahyar;Melanie Tory,40,31
Charles D. Stolper;Adam Perer;David Gotz,68,53
Eli T. Brown;Alvitta Ottley;Helen Zhao;Quan Lin;Richard Souvenir;Alex Endert;Remco Chang,41,30
Thomas MÃ¼hlbacher;Harald Piringer;Samuel Gratzl;Michael Sedlmair;Marc Streit,50,33
Paul Klemm;Steffen Oeltze-Jafra;Kai Lawonn;Katrin Hegenscheid;Henry VÃ¶lzke;Bernhard Preim,50,13
Haidong Chen;Wei Chen 0001;Honghui Mei;Zhiqi Liu;Kun Zhou;Weifeng Chen 0002;Wentao Gu;Kwan-Liu Ma,20,24
Michael Beham;Wolfgang Herzner;M. Eduard GrÃ¶ller;Johannes Kehrer,18,15
Bilal Alsallakh;Allan Hanbury;Helwig Hauser;Silvia Miksch;Andreas Rauber,50,18
Maoyuan Sun;Chris North;Naren Ramakrishnan,50,15
Steffen Koch;Markus John;Michael WÃ¶rner 0001;Andreas MÃ¼ller 0012;Thomas Ertl,36,19
David Gotz;Harry Stavropoulos,61,44
Ellen Isaacs;Kelly Domico;Shane Ahern;Eugene Bart;Mudita Singhal,4,2
Kresimir Matkovic;Denis Gracanin;Rainer Splechtna;Mario Jelovic;Benedikt Stehno;Helwig Hauser;Werner Purgathofer,50,11
Zuchao Wang;Tangzhi Ye;Min Lu;Xiaoru Yuan;Huamin Qu;Jacky Yuan;Qianliang Wu,50,44
Krishna P. C. Madhavan;Niklas Elmqvist;Mihaela Vorvoreanu;Xin Chen;Yuet Ling Wong;Hanjun Xian;Zhihua Dong;Aditya Johri,17,9
Patrick KÃ¶thur;Mike Sips;Henryk Dobslaw;Doris Dransch,5,8
Christian Partl;Alexander Lex;Marc Streit;Hendrik Strobelt;Anne Mai Wassermann;Hanspeter Pfister;Dieter Schmalstieg,13,9
Bowen Yu;Harish Doraiswamy;Xi Chen;Emily R. Miraldi;Mario Luis Arrieta-Ortiz;Christoph Hafemeister;Aviv Madar;Richard Bonneau;ClÃ¡udio T. Silva,9,7
Maria LujÃ¡n Ganuza;Gabriela Ferracutti;Maria Florencia Gargiulo;Silvia Mabel Castro;Ernesto A. Bjerg;M. Eduard GrÃ¶ller;Kresimir Matkovic,50,3
Jorge Poco;Aritra Dasgupta;Yaxing Wei;William W. Hargrove;Christopher R. Schwalm;Deborah N. Huntzinger;Robert B. Cook;Enrico Bertini;ClÃ¡udio T. Silva,12,6
Wei Zeng;Chi-Wing Fu;Stefan MÃ¼ller Arisona;Alexander Erath;Huamin Qu,55,31
Jiawan Zhang;E. Yanli;Jing Ma;Yahui Zhao;Binghan Xu;Liting Sun;Jinyan Chen;Xiaoru Yuan,11,11
Sungahn Ko;Jieqiong Zhao;Jing Xia;Shehzad Afzal;Xiaoyu Wang;Greg Abram;Niklas Elmqvist;Len Kne;David Van Riper;Kelly P. Gaither;Shaun Kennedy;William J. Tolone;William Ribarsky;David S. Ebert,9,2
Conglei Shi;Yingcai Wu;Shixia Liu;Hong Zhou;Huamin Qu,11,13
Cong Xie;Wei Chen 0001;Xinxin Huang;Yueqi Hu;Scott Barlowe;Jing Yang,19,18
Guodao Sun;Yingcai Wu;Shixia Liu;Tai-Quan Peng;Jonathan J. H. Zhu;Ronghua Liang,50,42
Yingcai Wu;Shixia Liu;Kai Yan;Mengchen Liu;Fangzhao Wu,52,52
Jian Zhao;Nan Cao;Zhen Wen;Yale Song;Yu-Ru Lin;Christopher Collins,58,42
Abish Malik;Ross Maciejewski;Sherry Towers;Sean McCullough;David S. Ebert,37,22
Artem Konev;JÃ¼rgen Waser;Bernhard Sadransky;Daniel Cornel;Rui A. P. PerdigÃ£o;Zsolt HorvÃ¡th;M. Eduard GrÃ¶ller,10,5
Jan ZahÃ¡lka;Marcel Worring,50,5
HalldÃ³r Janetzko;Dominik Sacha;Manuel Stein;Tobias Schreck;Daniel A. Keim;Oliver Deussen,39,18
Carlos A. Dietrich;David Koop;Huy T. Vo;ClÃ¡udio T. Silva,50,8
Tarik Crnovrsanin;Chris Muelder;Kwan-Liu Ma,2,1
Michael Behrisch;Fatih Korkmaz;Lin Shao;Tobias Schreck,26,15
Miguel Nunes;Benjamin Rowland;Matthias Schlachter;SolÃ©akhÃ©na Ken;Kresimir Matkovic;Anne Laprie;Katja BÃ¼hler,3,1
Steven R. Gomez;Hua Guo;Caroline Ziemkiewicz;David H. Laidlaw,8,5
Johannes Landstorfer;Ivo Herrmann;Jan-Erik Stange;Marian DÃ¶rk;Reto Wettach,,5
Sungahn Ko;Shehzad Afzal;Simon J. Walton;Yang Yang;Junghoon Chae;Abish Malik;Yun Jang;Min Chen 0001;David S. Ebert,11,2
Olav Lenz;Frank Keul;Sebastian Bremm;Kay Hamacher;Tatiana von Landesberger,4,5
Fei Wang 0016;Wei Chen 0001;Feiran Wu;Ye Zhao;Han Hong;Tianyu Gu;Long Wang;Ronghua Liang;Hujun Bao,50,16
Krist Wongsuphasawat;Jimmy Lin,50,9
Pierre Accorsi;Nathalie Lalande;MickaÃ«l FabrÃ¨gue;AgnÃ¨s Braud;Pascal Poncelet;Arnaud Sallaberry;Sandra Bringay;Maguelonne Teisseire;Flavie Cernesson;Florence Le Ber,50,2
Jie Li;Kang Zhang;Zhao-Peng Meng,50,7
Wenchao Wu;Yixian Zheng;Huamin Qu;Wei Chen 0001;M. Eduard GrÃ¶ller;Lionel M. Ni,11,4
Johanna Schmidt;Reinhold Preiner;Thomas Auzinger;Michael Wimmer;M. Eduard GrÃ¶ller;Stefan Bruckner,50,6
Lauren Bradel;Chris North;Leanna House;Scotland Leman,50,13
Eric C. Alexander;Joe Kohlmann;Robin Valenza;Michael Witmore;Michael Gleicher,48,24
Shixia Liu;Xiting Wang;Jianfei Chen;Jim Zhu;Baining Guo,50,21
Yafeng Lu;Robert KrÃ¼ger;Dennis Thom;Feng Wang 0012;Steffen Koch;Thomas Ertl;Ross Maciejewski,29,11
Jian Zhao;Liang Gou;Fei Wang;Michelle X. Zhou,50,10
Matthew Brehmer;Jocelyn Ng;Kevin Tate;Tamara Munzner,3,11
Jimmy Johansson;Camilla Forsell,3,21
AurÃ©lie CohÃ©;Bastien Liutkus;Gilles Bailly;James R. Eagan;Eric Lecolinet,3,4
Mehmet Adil YalÃ§in;Niklas Elmqvist;Benjamin B. Bederson,3,6
Arvind Satyanarayan;Ryan Russell;Jane Hoffswell;Jeffrey Heer,10,24
Roeland Scheepens;Christophe Hurter;Huub van de Wetering;Jarke J. van Wijk,6,19
Dirk J. Lehmann;Holger Theisel,6,16
Kanit Wongsuphasawat;Dominik Moritz;Anushka Anand;Jock D. Mackinlay;Bill Howe;Jeffrey Heer,26,53
Sukwon Lee;Sung-Hee Kim;Ya-Hsin Hung;Heidi Lam;Youn ah Kang;Ji Soo Yi,9,16
Sarah Goodwin;Jason Dykes;Aidan Slingsby;Cagatay Turkay,9,16
Jeremy Boy;Louis Eveillard;FranÃ§oise DÃ©tienne;Jean-Daniel Fekete,3,13
Vahan Yoghourdjian;Tim Dwyer;Graeme Gange;Steve Kieffer;Karsten Klein 0001;Kim Marriott,3,10
Jonathan C. Roberts;Christopher James Headleand;Panagiotis D. Ritsos,2,15
Lydia Byrne;Daniel Angus;Janet Wiles,1,4
Yael Albo;Joel Lanir;Peter Bak;Sheizaf Rafaeli,5,15
Anushka Anand;Justin Talbot,4,3
Manuel Rubio-SÃ¡nchez;Laura Raya;Francisco Diaz;Alberto SÃ¡nchez 0001,4,20
Mona Hosseinkhani Loorak;Charles Perin;Noreen Kamal;Michael Hill;Sheelagh Carpendale,3,14
Steve Kieffer;Tim Dwyer;Kim Marriott;Michael Wybrow,5,22
Uta Hinrichs;Stefania Forlini;Bridget Moynihan,2,8
Vidya Setlur;Maureen C. Stone,6,16
Matthew Kay;Jeffrey Heer,9,20
Yong Wang 0021;Qiaomu Shen;Daniel W. Archambault;Zhiguang Zhou;Min Zhu;Sixiao Yang;Huamin Qu,5,15
Julian Stahnke;Marian DÃ¶rk;Boris MÃ¼ller;Andreas Thom,6,24
Michelle Borkin;Zoya Bylinskii;Nam Wook Kim;Constance May Bainbridge;Chelsea S. Yeh;Daniel Borkin;Hanspeter Pfister;Aude Oliva,11,27
James S. Walker;Rita Borgo;Mark W. Jones,3,12
Theresia Gschwandtner;Markus BÃ¶gl;Paolo Federico 0001;Silvia Miksch,4,16
P. Samuel Quinan;Miriah D. Meyer,7,15
Alvitta Ottley;Evan M. Peck;Lane Harrison;Daniel Afergan;Caroline Ziemkiewicz;Holly A. Taylor;Paul K. J. Han;Remco Chang,2,13
Hendrik Strobelt;Daniela Oelke;Bum Chul Kwon;Tobias Schreck;Hanspeter Pfister,3,13
Nina McCurdy;Julie Lein;Katherine Coles;Miriah D. Meyer,3,12
Alice Thudt;Dominikus Baur;Samuel Huron;Sheelagh Carpendale,6,10
Benjamin Bach;Conglei Shi;Nicolas Heulot;Tara M. Madhyastha;Thomas J. Grabowski;Pierre Dragicevic,8,36
Renata G. Raidou;Martin Eisemann;Marcel Breeuwer;Elmar Eisemann;Anna Vilanova,1,10
Hendrik Strobelt;Bilal Alsallakh;Joseph Botros;Brant Peterson;Mark Borowsky;Hanspeter Pfister;Alexander Lex,2,6
Yvonne Jansen;Kasper HornbÃ¦k,3,6
Paolo Simonetto;Daniel W. Archambault;Carlos Eduardo Scheidegger,1,7
Susan VanderPlas;Heike Hofmann,1,6
Bireswar Laha;Doug A. Bowman;David H. Laidlaw;John J. Socha,5,2
Jorge Poco;Harish Doraiswamy;Marian Talbert;Jeffrey T. Morisette;ClÃ¡udio T. Silva,2,0
Alexander Bock;Asher Pembroke;M. Leila Mays;Lutz Rastaetter;Timo Ropinski;Anders Ynnerman,3,3
Hongsen Liao;Yingcai Wu;Li Chen;Thomas M. Hamill;Yunhai Wang;Kan Dai;Hui Zhang;Wei Chen 0001,1,1
Christian Schulte zu Berge;Denis Declara;Christoph Hennersperger;Maximilian Baust;Nassir Navab,8,1
Victor Matvienko;Jens H. KrÃ¼ger,0,0
Valentin Zobel;Markus Stommel;Gerik Scheuermann,1,2
Ingo Wald;Aaron Knoll;Gregory P. Johnson;Will Usher;Valerio Pascucci;Michael E. Papka,8,7
Sanghun Park;Hyunggoog Seo;Seunghoon Cha;Jun-yong Noh,0,2
Najmeh Abedzadeh,0,0
Alexander Bock;Michal Marcinkowski;Joakim Kilby;Carter Emmart;Anders Ynnerman,3,2
Teodora Chitiboi;Mathias Neugebauer;Susanne Schnell;Michael Markl;Lars Linsen,4,1
Mai El-Shehaly;Denis Gracanin;Mohamed A. Gad;JunPeng Wang;Hicham G. Elmongui,0,0
Mathias Goldau;AndrÃ© Reichenbach;Mario Hlawitschka,0,0
Scott Houde;Sheila Bonde;David H. Laidlaw,0,0
Mohammad Imrul Jubair;Usman R. Alim;Niklas RÃ¶ber;John P. Clyne;Ali Mahdavi-Amiri;Faramarz F. Samavati,1,1
Jonathan Leidig;Santhosh Dharmapuri,0,0
Richen Liu;Hanqi Guo;Xiaoru Yuan,0,0
Mark A. Livingston;Jonathan W. Decker;Zhuming Ai,0,0
Omniah H. Nagoor;Markus Hadwiger;Madhusudhanan Srinivasan,0,0
Colin Ware;Andrew H. Stevens,0,0
Erik SundÃ©n;Peter Steneteg;Sathish Kottravel;Daniel JÃ¶nsson;Rickard Englund;Martin Falk;Timo Ropinski,4,3
Jiang Zhang;Hanqi Guo;Xiaoru Yuan,0,0
Hanqi Guo;Carolyn L. Phillips;Tom Peterka;Dmitry A. Karpeyev;Andreas Glatz,0,5
Amin Abbasloo;Vitalis Wiens;Max Hermann;Thomas Schultz 0001,3,5
David Schroeder;Daniel F. Keefe,3,6
Wenchao Wu;Jiayi Xu;Haipeng Zeng;Yixian Zheng;Huamin Qu;Bing Ni;Mingxuan Yuan;Lionel M. Ni,5,27
Max Hermann;Anja C. Schunke;Thomas Schultz 0001;Reinhard Klein,1,6
Tobias GÃ¼nther;Maik Schulze;Holger Theisel,0,9
Lingyun Yu;Konstantinos Efstathiou 0001;Petra Isenberg;Tobias Isenberg 0001,50,9
Steffen Oeltze-Jafra;Juan R. Cebral;GÃ¡bor Janiga;Bernhard Preim,0,9
Florian Ferstl;Kai BÃ¼rger;RÃ¼diger Westermann,10,24
Christopher P. Kappe;Lucas Schutz;Stefan Gunther;Lars Hufnagel;Steffen Lemke;Heike Leitte,50,3
Zhongjie Wang;Hans-Peter Seidel;Tino Weinkauf,0,2
Robin Skanberg;Pere-Pau VÃ¡zquez;Victor Guallar;Timo Ropinski,4,7
Daniel JÃ¶nsson;Martin Falk;Anders Ynnerman,5,8
Matthias Labschutz;Stefan Bruckner;M. Eduard GrÃ¶ller;Markus Hadwiger;Peter Rautek,2,7
Jonathan Woodring;Mark Petersen;Andre SchmeiÃŸer;John Patchett;James P. Ahrens;Hans Hagen,4,14
Kenneth Weiss;Peter Lindstrom,0,2
Joseph Marino;Arie E. Kaufman,3,6
Xiaotong Liu;Han-Wei Shen,6,14
Attila Gyulassy;Aaron Knoll;Kah Chun Lau;Bei Wang;Peer-Timo Bremer;Michael E. Papka;Larry A. Curtiss;Valerio Pascucci,2,2
Daisuke Sakurai;Osamu Saeki;Hamish A. Carr;Hsiang-Yun Wu;Takahiro Yamamoto;David J. Duke;Shigeo Takahashi,1,1
Jan Byska;Mathieu Le Muzic;M. Eduard GrÃ¶ller;Ivan Viola;Barbora KozlÃ­kovÃ¡,2,6
Changgong Zhang;Thomas Schultz 0001;Kai Lawonn;Elmar Eisemann;Anna Vilanova,3,14
Soumya Dutta;Han-Wei Shen,2,13
Ali K. Al-Awami;Johanna Beyer;Daniel Haehn;Narayanan Kasthuri;Jeff Lichtman;Hanspeter Pfister;Markus Hadwiger,0,7
Gordon L. Kindlmann;Charisee Chiw;Nicholas Seltzer;Lamont Samuels;John H. Reppy,2,9
Chun-Ming Chen;Soumya Dutta;Xiaotong Liu;Gregory Heinlein;Han-Wei Shen;Jen-Ping Chen,1,5
Tushar Athawale;Elham Sakhaee;Alireza Entezari,3,17
Kai Lawonn;Sylvia GlaÃŸer;Anna Vilanova;Bernhard Preim;Tobias Isenberg 0001,6,12
Thomas Butkiewicz;Andrew H. Stevens,0,0
Marco Ament;Carsten Dachsbacher,3,5
Yi Gu;Chaoli Wang;Tom Peterka;Robert Jacob;Seung Hyun Kim,2,7
Kuno Kurzhals;Marcel Hlawatsch;Florian Heimerl;Michael Burch;Thomas Ertl;Daniel Weiskopf,8,13
Lihua Hao;Christopher G. Healey;Steffen A. Bass,3,11
Nan Cao;Conglei Shi;Wan-Yi Sabrina Lin;Jie Lu;Yu-Ru Lin;Ching-Yung Lin,10,28
Johanna Fulda;Matthew Brehmer;Tamara Munzner,2,16
Eric D. Ragan;Alex Endert;Jibonananda Sanyal;Jian Chen,8,34
Shenghui Cheng;Klaus Mueller,6,20
Dominik JÃ¤ckle;Fabian Fischer 0001;Tobias Schreck;Daniel A. Keim,5,21
Mengchen Liu;Shixia Liu;Xizhou Zhu;Qinying Liao;Furu Wei;Shimei Pan,6,13
Bum Chul Kwon;Sung-Hee Kim;Sukwon Lee;Jaegul Choo;Jina Huh;Ji Soo Yi,4,13
Dominik Sacha;Hansi Senaratne;Bum Chul Kwon;Geoffrey P. Ellis;Daniel A. Keim,13,31
Cesar Palomo;Zhan Guo;ClÃ¡udio T. Silva;Juliana Freire,5,12
Phong H. Nguyen;Kai Xu 0003;Ashley Wheat;B. L. William Wong;Simon Attfield;Bob Fields,5,11
Thomas LÃ¶we;Emmy-Charlotte FÃ¶rster;Georgia Albuquerque;Jens-Peter Kreiss;Marcus A. Magnor,1,5
Hua Guo;Steven R. Gomez;Caroline Ziemkiewicz;David H. Laidlaw,4,15
Hannah Kim;Jaegul Choo;Haesun Park;Alex Endert,6,22
Eric C. Alexander;Michael Gleicher,4,12
Siming Chen;Xiaoru Yuan;Zhenhuang Wang;Cong Guo;Jie Liang;Zuchao Wang;Xiaolong Zhang 0001;Jiawan Zhang,8,40
Stefan JÃ¤nicke;Josef Focht;Gerik Scheuermann,1,6
Florian Heimerl;Qi Han;Steffen Koch;Thomas Ertl,6,20
Josua Krause;Adam Perer;Harry Stavropoulos,10,23
Michael Glueck;Peter Hamilton;Fanny Chevalier;Simon Breslav;Azam Khan;Daniel J. Wigdor;Michael Brudno,2,8
Fabian Beck 0001;Sebastian Koch;Daniel Weiskopf,9,24
Xiaoke Huang;Ye Zhao;Chao Ma;Jing Yang;Xinyue Ye;Chong Zhang,8,41
Maoyuan Sun;Peng Mi;Chris North;Naren Ramakrishnan,7,17
Tanja Blascheck;Markus John;Kuno Kurzhals;Steffen Koch;Thomas Ertl,6,22
Jun Wang;Klaus Mueller,1,14
Charilaos Papadopoulos;Ievgeniia Gutenko;Arie E. Kaufman,1,3
Isaac Cho;Wenwen Dou;Xiaoyu Wang;Eric Sauda;William Ribarsky,50,12
Yafeng Lu;Michael Steptoe;Sarah Burke;Hong Wang;Jiun-Yi Tsai;Hasan Davulcu;Douglas Montgomery;Steven R. Corman;Ross Maciejewski,6,14
Johannes Sorger;Thomas Ortner;Christian Luksch;Michael SchwÃ¤rzler;M. Eduard GrÃ¶ller;Harald Piringer,3,9
Stef van den Elzen;Danny Holten;Jorik Blaas;Jarke J. van Wijk,12,38
Tatiana von Landesberger;Felix Brodkorb;Philipp Roskosch;Natalia V. Andrienko;Gennady L. Andrienko;Andreas Kerren,10,51
Yanhong Wu;Naveen Pitipornvivat;Jian Zhao;Sixiao Yang;Guowei Huang;Huamin Qu,11,26
Paul Klemm;Kai Lawonn;Sylvia GlaÃŸer;Uli Niemann;Katrin Hegenscheid;Henry VÃ¶lzke;Bernhard Preim,50,11
Sujin Jang;Niklas Elmqvist;Karthik Ramani,1,4
Paola Valdivia;Fabio Dias;Fabiano Petronetto;ClÃ¡udio T. Silva;Luis Gustavo Nonato,7,7
Kristin A. Cook;Nick Cramer;David J. Israel;Michael Wolverton;Joe Bruce;Russ Burtner;Alex Endert,6,7
Chris Bryan;Xue Wu;Susan M. Mniszewski;Kwan-Liu Ma,5,0
Stephen C. North;Carlos Eduardo Scheidegger;Simon Urbanek;Gordon Woodhull,4,0
Haeyong Chung;Chris North;Sarang Joshi;Jian Chen,6,4
Martin RÃ¶hlig;Martin Luboschik;Frank KrÃ¼ger 0001;Thomas Kirste;Heidrun Schumann;Markus BÃ¶gl;Bilal Alsallakh;Silvia Miksch,5,2
Liang Yu;Wei Wu;Xiaohui Li;Guangxia Li;Wee Siong Ng;See-Kiong Ng;Zhongwen Huang;Anushiya Arunan;Hui Min Watt,9,0
Wenwen Dou;Isaac Cho;Omar ElTayeby;Jaegul Choo;Xiaoyu Wang;William Ribarsky,6,5
Qingsong Liu;Yifan Hu;Lei Shi;Xinzhu Mu;Yutao Zhang;Jie Tang 0001,7,1
Quan Li;Peng Xu;Huamin Qu,1,0
Mihaela Jarema;Ismail Demir;Johannes Kehrer;RÃ¼diger Westermann,16,9
Rainer Splechtna;Kresimir Matkovic;Denis Gracanin;Mario Jelovic;Helwig Hauser,0,2
Nivan Ferreira;Marcos Lage;Harish Doraiswamy;Huy T. Vo;Luc Wilson;Heidi Werner;Muchan Park;ClÃ¡udio T. Silva,50,7
Michael Brooks;Saleema Amershi;Bongshin Lee;Steven M. Drucker;Ashish Kapoor;Patrice Y. Simard,31,10
Sujan Anreddy;Song Zhang 0004;Andrew Mercer 0001;Jamie Dyer;J. Edward Swan,0,0
Markus BÃ¶gl;Peter Filzmoser;Theresia Gschwandtner;Silvia Miksch;Wolfgang Aigner;Alexander Rind;Tim Lammarsch,2,1
Shenghui Cheng;Yue Wang;Dan Zhang;Zhifang Jiang;Klaus Mueller,1,0
Kristin A. Cook;Jean Scholtz;Mark A. Whiting,0,1
Haoling Dong;Siliang Tang;Si Li;Fei Wu 0001;Yueting Zhuang,0,0
Maria LujÃ¡n Ganuza;Maria Florencia Gargiulo;Gabriela Ferracutti;Silvia Mabel Castro;Ernesto A. Bjerg;M. Eduard GrÃ¶ller;Kresimir Matkovic,0,0
Masahiko Itoh;Daisaku Yokoyama;Masashi Toyoda;Masaru Kitsuregawa,0,0
Roger A. Leite;Theresia Gschwandtner;Silvia Miksch;Erich Gstrein;Johannes Kuntner,2,1
Min Lu;Chufan Lai;Tangzhi Ye;Jie Liang;Xiaoru Yuan,3,0
Miriam Perkins;Yanlai Chen,0,0
Jessica Peter;Steve James Szigeti;Ana Jofre;Sara Diamond,0,0
